"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M08","63.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M09","64","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M10","64","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M11","63.8","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M12","64","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M01","64","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M02","64.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M03","64.4","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M04","64.9","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M05","65.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M06","65.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M07","64.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M08","65.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M09","65.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M10","65.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M11","65.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1994-M12","65.5","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M01","65.5","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M02","65.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M03","66","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M04","66.4","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M05","66.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M06","66.8","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M07","66.6","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M08","66.9","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M09","67.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M10","67.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M11","67.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1995-M12","67.5","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M01","55.38157","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M02","55.62909","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M03","55.81472","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M04","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M05","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M06","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M07","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M08","55.69096","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M09","55.75284","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M10","55.81472","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M11","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1985-M12","55.93848","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M01","56.12411","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M02","56.06224","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M03","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M04","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M05","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M06","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M07","55.69096","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M08","55.50533","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M09","55.56721","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M10","55.38157","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M11","55.31969","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1986-M12","55.38157","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M01","55.69096","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M02","55.75284","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M03","55.75284","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M04","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M05","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M06","55.93848","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M07","55.93848","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M08","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M09","55.81472","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M10","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M11","55.8766","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1987-M12","55.93848","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M01","56.18599","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M02","56.30975","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M03","56.30975","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M04","56.43351","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M05","56.55727","Units"
